Job Title,Salary,Company,Date,Location,Category
24/48 ажиллах ресепшин,"112,500 ₮",хувь хүн,2024-11-19,Алтай хотхон,"Аялал жуулчлал, зочид буудал"
Ресторанд үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-19,Элчин сайдын гудамж,"Pесторан, кафе, паб"
Агент,"3,000,000 ₮",хувь хүн,2024-11-19,19-р хороолол,"Борлуулалт, худалдаа"
Барилгын туслах ажилтан,"100,000 ₮",хувь хүн,2024-11-19,Хороо 7,"Барилга, дэд бүтэц"
Зочид буудалд үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 4,"Аялал жуулчлал, зочид буудал"
Зочид буудалд ресепшин,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 4,"Аялал жуулчлал, зочид буудал"
Zoogch,"2,000,000 ₮",DHD LLC,2024-11-19,Хороо 5,"Pесторан, кафе, паб"
Barmen,"2,500,000 ₮",DHD LLC,2024-11-19,Хороо 4,"Pесторан, кафе, паб"
Бэлтгэгч,"1,820,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Pесторан, кафе, паб"
Хос үсчин,"5,000,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Гоо сайхан, фитнес, спорт"
Солонгос ресторанд зөөгч,"1,700,000 ₮",хувь хүн,2024-11-19,Мишээл,"Pесторан, кафе, паб"
Караокед зөөгч,"1,500,000 ₮",Мүсүби ХХК,2024-11-19,10-р хороолол,"Pесторан, кафе, паб"
Үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 15,"Гоо сайхан, фитнес, спорт"
Бараа шалгагч,"1,800,000 ₮",хувь хүн,2024-11-19,Хороо 21,"Тээвэр, гааль, агуулах"
Зөөгч,"1,700,000 ₮",хувь хүн,2024-11-19,Хороо 2,"Pесторан, кафе, паб"
Зөөгч,"1,700,000 ₮",хувь хүн,2024-11-19,Хороо 2,"Pесторан, кафе, паб"
Угсралтын техникч,"2,000,000 ₮",Юнигаз ХХК,2024-11-19,Хороо 2,Үйлдвэрлэл
"Борлуулалт, засварын ажилтан","1,200,000 ₮",Эн Би Си ХХК,2024-11-19,100 айл,"МТ, харилцаа холбоо"
Мэдээллийн оператор,"1,000,000 ₮",Эн Би Си ХХК,2024-11-19,100 айл,"МТ, харилцаа холбоо"
Цахилгаанчин /шувуун фабрикт/,"3,000,000 ₮",хувь хүн,2024-11-19,Био комбинат,"Барилга, дэд бүтэц"
"Аарцаг нуруу, эмчилгээний бариа засалч","2,000,000 ₮",хувь хүн,2024-11-19,25-р эмийн сан,"Эрүүл мэнд, эм зүй"
Үйлчлэгч,"1,200,000 ₮",хувь хүн,2024-11-19,Хороо 17,"Pесторан, кафе, паб"
Метал фасад угсралтын ажилчин,"200,000 ₮",хувь хүн,2024-11-19,Хороо 7,"Барилга, дэд бүтэц"
Өрөө үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-19,120 мянгат,"Аялал жуулчлал, зочид буудал"
Зөөгч,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 19,"Pесторан, кафе, паб"
Худалдааны зөвлөх,"1,500,000 ₮",Брикланд ХХК,2024-11-19,Хороо 1,"Борлуулалт, худалдаа"
Үйлдвэрт ажилтан,"2,000,000 ₮",хувь хүн,2024-11-19,Хороо 3,Үйлдвэрлэл
Нүдний шилний газар худалдааны зөвлөх,"1,800,000 ₮",хувь хүн,2024-11-19,13-р хороолол,"Борлуулалт, худалдаа"
Зөөгч,"1,200,000 ₮",Санжэм ХХК,2024-11-19,Хороо 1,"Pесторан, кафе, паб"
Үйлдвэрт нярав,"2,500,000 ₮",хувь хүн,2024-11-19,Хороо 32,"Банк, санхүү, нябо, нярав"
Ресепшин,"135,000 ₮",Санжэм ХХК,2024-11-19,Хороо 1,"Аялал жуулчлал, зочид буудал"
Бэлтгэгч,"1,900,000 ₮",Цэ энд Цэ ХХК,2024-11-19,Баянзүрх дүүрэг,"Pесторан, кафе, паб"
Ачигч хүнсний цех,"1,800,000 ₮",Цэ энд Цэ ХХК,2024-11-19,Сансар,Туслах ажилчин
Угаагч,"1,900,000 ₮",Цэ энд Цэ ХХК,2024-11-19,Хороо 3,"Pесторан, кафе, паб"
Аюулгүй байдлын ажилтан,"1,500,000 ₮",М-Армор ХХК,2024-11-19,Мишээл,Харуул хамгаалалт
Техникч,"2,000,000 ₮",М-Армор ХХК,2024-11-19,Мишээл,"МТ, харилцаа холбоо"
"Авто засварчин, оношилгооны инженер","4,000,000 ₮",хувь хүн,2024-11-19,Баянбүрд,"Авто үйлчилгээ, засвар"
Захиалга авагч мерчиндайзер,"2,200,000 ₮",Цахиур ХХК,2024-11-19,5 шар,"Борлуулалт, худалдаа"
Тооцооны нягтлан бодогч,"2,100,000 ₮",хувь хүн,2024-11-19,Баруун салаа,"Банк, санхүү, нябо, нярав"
Зөөгч,"1,800,000 ₮",хувь хүн,2024-11-19,Хороо 8,"Pесторан, кафе, паб"
Үйлчлэгч,"1,800,000 ₮",хувь хүн,2024-11-19,120 мянгат,"Pесторан, кафе, паб"
Борлуулалтын түгээгч /8 нэрийн дэлгүүр/,"1,800,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Борлуулалт, худалдаа"
Hybrid battery засварчин,"2,500,000 ₮",хувь хүн,2024-11-18,4 хороолол,"Авто үйлчилгээ, засвар"
Япон улсад барилгын туслах ажилчин,"5,000,000 ₮",хувь хүн,2024-11-18,Хороо 9,"Барилга, дэд бүтэц"
Касс,"1,420,000 ₮",хувь хүн,2024-11-18,Яармаг,"Борлуулалт, худалдаа"
Барилгын туслах,"2,000,000 ₮",хувь хүн,2024-11-18,Мишээл,"Барилга, дэд бүтэц"
Ээлжийн харуул,"80,000 ₮",хувь хүн,2024-11-18,Мишээл,Харуул хамгаалалт
Цахилгаанчин,"2,000,000 ₮",Шөлөндө ХХК,2024-11-18,Хороо 8,"Барилга, дэд бүтэц"
Баруун 4 замд хүнсний дэлгүүрт касс,"120,000 ₮",хувь хүн,2024-11-18,5-р хороолол,"Борлуулалт, худалдаа"
Солонгос ресторанд касс,"2,000,000 ₮",хувь хүн,2024-11-18,Хороо 15,"Pесторан, кафе, паб"
Солонгос ресторанд зөөгч,"1,700,000 ₮",хувь хүн,2024-11-18,Хороо 15,"Pесторан, кафе, паб"
Аюулгүй байдлын ажилтан,"1,800,000 ₮",М-Армор ХХК,2024-11-18,Хороо 3,Харуул хамгаалалт
Ресторанд зөөгч,"1,600,000 ₮",хувь хүн,2024-11-18,Хороо 6,"Pесторан, кафе, паб"
Худалдааны зөвлөх,"1,500,000 ₮",хувь хүн,2024-11-18,Натур худалдааны төв,Ажлын зар
Хүнсний технологч,"3,000,000 ₮",ЖИГНҮҮР БУУЗ ХХК,2024-11-18,Хороо 8,"Pесторан, кафе, паб"
Агуулахын туслах ажилтан,"1,600,000 ₮",Цахиур ХХК,2024-11-18,5-р хороолол,"Тээвэр, гааль, агуулах"
Угаагч,"1,500,000 ₮",хувь хүн,2024-11-18,13-р хороолол,"Pесторан, кафе, паб"
Ресторанд ээлжийн үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-18,13-р хороолол,"Pесторан, кафе, паб"
Үндсэн угаагч,"1,300,000 ₮",хувь хүн,2024-11-18,Хороо 26,"Pесторан, кафе, паб"
Түгээгч,"2,300,000 ₮",Мүсүби ХХК,2024-11-18,Хороо 1,"Борлуулалт, худалдаа"
25 аас дээш насны в-вс ангилалтай жолооч,"2,500,000 ₮",хувь хүн,2024-11-18,Үйлдвэрийн баруун бүс,"Борлуулалт, худалдаа"
Buudliin uilchlegch,"80,000 ₮",хувь хүн,2024-11-18,21-р хороолол,"Аялал жуулчлал, зочид буудал"
Karoaked hamgaalagch,"80,000 ₮",хувь хүн,2024-11-18,21-р хороолол,Харуул хамгаалалт
Худалдагч,"1,100,000 ₮",хувь хүн,2024-11-18,Үндэсний цэцэрлэгт хүрээлэн,"Борлуулалт, худалдаа"
Хот хоорондын жолооч,"2,600,000 ₮",хувь хүн,2024-11-18,Хороо 2,"Тээвэр, гааль, агуулах"
Автын засварчин,"2,500,000 ₮",хувь хүн,2024-11-18,Сонсголон,"Авто үйлчилгээ, засвар"
Туслах тогооч,"1,800,000 ₮",хувь хүн,2024-11-18,Сонсголон,"Pесторан, кафе, паб"
Оёдолчин,"2,000,000 ₮",хувь хүн,2024-11-18,Хороо 16,Үйлдвэрлэл
Диско бааранд хувцас өлгөх хүн,"1,600,000 ₮",хувь хүн,2024-11-18,Төмөр зам,"Pесторан, кафе, паб"
Ачигч,"1,600,000 ₮",хувь хүн,2024-11-18,Хороо 13,Туслах ажилчин
Үл хөдлөх зуулчлалын компанид тогтмол цалинтай агент,"3,000,000 ₮",хувь хүн,2024-11-18,14-р хороолол,"Борлуулалт, худалдаа"
Настай хүн харах асрагч,"2,300,000 ₮",хувь хүн,2024-11-18,5-р хороолол,Үйлчилгээ
Нярав,"1,500,000 ₮",хувь хүн,2024-11-18,10-р хороолол,"Банк, санхүү, нябо, нярав"
Оффисын үйлчлэгч /10-р хороолол/,"1,200,000 ₮",хувь хүн,2024-11-18,10-р хороолол,Үйлчилгээ
Хэвлэлийн эх бэлтгэгч /10-р хороолол/,"1,500,000 ₮",хувь хүн,2024-11-18,10-р хороолол,"Дизайн, урлаг, уран сайхан"
Агуулахын нярав,"2,200,000 ₮",хувь хүн,2024-11-18,Хороо 20,"Банк, санхүү, нябо, нярав"
Дугуй угсрагч,"2,000,000 ₮",хувь хүн,2024-11-18,Өгөөмөр захын зүүн,"Авто үйлчилгээ, засвар"
Савлагч эрэгтэй,"1,600,000 ₮",хувь хүн,2024-11-18,Амгалан,Үйлдвэрлэл
Дамжлагын эмэгтэй ажилтан,"1,500,000 ₮",хувь хүн,2024-11-18,Хороо 12,Үйлдвэрлэл
Эзэгтэйн туслах,"1,700,000 ₮",хувь хүн,2024-11-18,River Garden,Үйлчилгээ
Ачигч,"1,600,000 ₮",хувь хүн,2024-11-18,Төмөр зам,Туслах ажилчин
Түгээлтийн жолооч,"2,500,000 ₮",хувь хүн,2024-11-18,Баруун салаа,"Борлуулалт, худалдаа"
Мерчиндайзер,"1,300,000 ₮",хувь хүн,2024-11-18,Баянхошуу,"Борлуулалт, худалдаа"
"В,с ангилалтай жолооч","2,100,000 ₮",хувь хүн,2024-11-18,Төмөр зам,"Тээвэр, гааль, агуулах"
Сэрээт өргөгчийн жолооч,"1,900,000 ₮",Максимус дистрибьюшн ХХК,2024-11-18,Чулуун овоо,"Тээвэр, гааль, агуулах"
Бэлтгэгч,"1,100,000 ₮",Максимус дистрибьюшн ХХК,2024-11-18,Чулуун овоо,"Pесторан, кафе, паб"
Алжаал тайлах төвд бариач,"6,000,000 ₮",хувь хүн,2024-11-18,Хороо 7,"Гоо сайхан, фитнес, спорт"
С ангилалтай жолооч,"1,800,000 ₮",Максимус дистрибьюшн ХХК,2024-11-18,Чулуун овоо,"Тээвэр, гааль, агуулах"
Хяналтын ажилтан,"1,600,000 ₮",Макс хүнс ХХК,2024-11-18,Стадион Оргил,Харуул хамгаалалт
Ресторанд угаагч,"1,500,000 ₮",хувь хүн,2024-11-18,Зайсан,"Pесторан, кафе, паб"
Тоног төхөөрөмжийн эрэгтэй оператор,"1,600,000 ₮",хувь хүн,2024-11-18,19-р хороолол,Үйлдвэрлэл
Банкны аюулгүй байдлын хамгаалагч,"1,200,000 ₮",хувь хүн,2024-11-18,Хороо 1,Харуул хамгаалалт
"Холбоо дохиолол, сүлжээний инженер","2,100,000 ₮",хувь хүн,2024-11-18,Хороо 1,"МТ, харилцаа холбоо"
Худалдагч,"1,500,000 ₮",хувь хүн,2024-11-18,6-р бичил,"Борлуулалт, худалдаа"
Захиалга бэлтгэгч,"2,100,000 ₮",хувь хүн,2024-11-18,Хороо 20,"Тээвэр, гааль, агуулах"
Авлага хариуцсан нягтлан бодогч,"1,700,000 ₮",Цахиур ХХК,2024-11-18,Хороо 38,"Банк, санхүү, нябо, нярав"
Үйлдвэрийн ажилтан /савлагч/,"1,620,000 ₮",хувь хүн,2024-11-18,Хороо 1,Үйлдвэрлэл
Гадаад хэлтэй менежер,"2,300,000 ₮",хувь хүн,2024-11-18,Яармаг,Ажлын зар
Эмэгтэй хамгаалагч,"160,000 ₮",хувь хүн,2024-11-18,10-р хороолол,Харуул хамгаалалт
Хамгаалагч уурхайд,"1,800,000 ₮",хувь хүн,2024-11-18,Хороо 2,Харуул хамгаалалт
Бэлэн бүтээгдхүүний борлуулагч эмэгтэй,"2,000,000 ₮",хувь хүн,2024-11-18,Дэнжийн 1000,"Борлуулалт, худалдаа"
Автомашин угаалга цэвэрлэгээний төвд ажилтан,"2,500,000 ₮",хувь хүн,2024-11-17 23:08,Хороо 43,"Авто үйлчилгээ, засвар"
Худалдааны зөвлөх,"2,000,000 ₮",хувь хүн,2024-11-17 21:31,Хороо 1,"Борлуулалт, худалдаа"
Мужааны туслах,"3,000,000 ₮",GE.LLC,2024-11-17 20:18,14-р хороолол,"Барилга, дэд бүтэц"
"Хэвлэлийн дизайнер, эх бэлтгэгч","3,000,000 ₮",хувь хүн,2024-11-17 19:32,Өмнөговь,"Дизайн, урлаг, уран сайхан"
Туслах багш,"1,800,000 ₮",хувь хүн,2024-11-17 19:05,Алтай хотхон,"Боловсрол, шинжлэх ухаан"
Агуулахын туслах ажилтан,"2,000,000 ₮",Грассвиув Хилл ХХК,2024-11-17 17:30,Хороо 11,"Тээвэр, гааль, агуулах"
Bariach,"6,000,000 ₮",хувь хүн,2024-11-17 16:58,Хороо 22,"Гоо сайхан, фитнес, спорт"
Vip car wash-д машин угаагч,"2,500,000 ₮",хувь хүн,2024-11-17 13:48,Хороо 1,"Авто үйлчилгээ, засвар"
Биений спа хийх ажилтан,"1,500,000 ₮",хувь хүн,2024-11-17 12:47,Marshall town,"Гоо сайхан, фитнес, спорт"
Бариач,"6,000,000 ₮",хувь хүн,2024-11-17 11:37,Хороо 4,"Гоо сайхан, фитнес, спорт"
Зөөгч,"1,600,000 ₮",хувь хүн,2024-11-17 09:33,Хороо 15,"Pесторан, кафе, паб"
Бялууны тогооч,"2,000,000 ₮",хувь хүн,2024-11-17 09:31,120 мянгат,"Pесторан, кафе, паб"
Бэлтгэгч тогооч,"2,000,000 ₮",хувь хүн,2024-11-17 09:30,Удирдлагын Академи,"Pесторан, кафе, паб"
Европ хоолны ресторанд зөөгч,"1,600,000 ₮",хувь хүн,2024-11-16 22:19,Хороо 8,"Pесторан, кафе, паб"
Тогооч,"100,000 ₮",хувь хүн,2024-11-16 16:23,4 хороолол,"Pесторан, кафе, паб"
Зөөгч,"1,600,000 ₮",хувь хүн,2024-11-16 15:51,Хүүхдийн 100,"Pесторан, кафе, паб"
Жолооч,"2,000,000 ₮",Грассвиув Хилл ХХК,2024-11-16 15:16,Хороо 11,"Тээвэр, гааль, агуулах"
Үйлдвэрт туслах ажилтан,"2,000,000 ₮",хувь хүн,2024-11-16 13:23,13-р хороолол,Үйлдвэрлэл
Hudaldaanii zuvluh,"2,000,000 ₮",хувь хүн,2024-11-16 12:47,13-р хороолол,"Борлуулалт, худалдаа"
Аж ахуйн ажилтан,"2,000,000 ₮",хувь хүн,2024-11-16 11:30,6-р бичил,Үйлчилгээ
Худалдааны төлөөлөгч,"2,000,000 ₮",Техно Стандарт ХХК,2024-11-15 19:07,19-р хороолол,"Борлуулалт, худалдаа"
Монгол гэр хүрэмт тавилгын үйлдвэрт мужаан,"2,500,000 ₮",хувь хүн,2024-11-15 18:35,Хороо 19,Үйлдвэрлэл
Үйлдвэр хариуцсан менежер,"3,000,000 ₮",хувь хүн,2024-11-15 16:45,6-р бичил,Үйлдвэрлэл
Худалдааны төлөөлөгч,"3,000,000 ₮",Bimex LLC,2024-11-15 15:18,Сансар,"Борлуулалт, худалдаа"
Касс,"85,000 ₮",хувь хүн,2024-11-15 14:55,15-р хороолол,"Борлуулалт, худалдаа"
Худалдааны зөвлөх,"2,000,000 ₮",хувь хүн,2024-11-15 14:06,King Tower,"Борлуулалт, худалдаа"
Зүлгүүрчин,"250,000 ₮",хувь хүн,2024-11-15 13:51,Хороо 42,"Барилга, дэд бүтэц"
Худалдааны төлөөлөгч,"3,800,000 ₮",Цахиур ХХК,2024-11-15 13:16,5-р хороолол,"Борлуулалт, худалдаа"
Зочид буудлын өрөө үйлчилгээ,"1,400,000 ₮",хувь хүн,2024-11-15 12:42,10-р хороолол,"Аялал жуулчлал, зочид буудал"
